AUTHOR,TITLE,REVIEW,RATING,AUTHOR_ID
hossamahmed-30148, Below average,When u come to watch a typical shark movie  you definetly do not expect to see an oscar withy movie however this movies dove below the already set average standard of a typical shark movie. Horrible CGI disatrous actors weak dialouge expected story and the list goes on. As a shark lover i immediately downloaded the movie but left utterly disappointed at the end.,1.0,13
divealanya, Total junk movie,Bad CGI and rubbish story. Really!!!The female lead drowns and then is brought back to life underwater by another female blowing into her mouth. The female lead miraculously comes back to life and fights the shark again without taking a breath of air. Zzzzz.,1.0,14
twinmom-10035, Waste of time,I am very impressed how a mouth to mouth underwater makes it possible for the two people to live and continue to hold their breath long enough to kill the shark. OMG!,2.0,15
paul_haakonsen, A very exciting and thrilling shark movie...,"Finally a shark movie that is well-worth diving into if you dont mind swimming with great white sharks.I sat down to watch the 2021 movie ""Great White"" from writer Michael Boughen and director Martin Wilson with no expectations. I was dreading that it was going to be just another run-of-the-mill shark movie you know the ones that come a dime a dozen. But still Ive always enjoyed shark movies ever since watching ""Jaws"" as a child. So of course I sat down to watch ""Great White"".I have to say that the movies cover/poster definitely was helping to win me over and make me have an interest in watching the movie.Right well on to it. ""Great White"" is a movie that you should treat yourself to watching especially if you enjoy shark movies. Because this 2021 movie is a movie that is driven by a good story well-rounded characters excitement and also a sense of despair from the marooned people adrift. So that was a major accomplishment on director Martin Wilsons behalf.The storyline is as interesting as it is exciting. Sure it is a rather generic storyline if you look at it objectively. I mean you have a shark that accidentally causes five people to become marooned at sea with hundreds of miles to the shoreline as it causes their airplane to sink - gee now where have we seen that before? Duh dum duh dum dum dum dum dum.... get it? But at the same time it is also a storyline that is well-written as it managed to snatch you up and bring you along right there in the raft alongside the marooned five. So writer Michael Boughen definitely made things work.There is a good amount of excitement and thrills in the movie as there should be in any good shark movie. And it worked so nicely in this movie especially because there was such a good balance between the hopelessness of being marooned so far out at sea and the feel of being stalked by a great white knowing it is there in the water but rarely see it come to the surface. I most certainly enjoyed that aspect of ""Great White"".Something else that made the movie work out so well was the impressive character gallery. Sure the movie have only five people in it essentially but these characters are so well-rounded and nicely fleshed out given personalities quirks traits etc. Which made for a very lively movie and you get sucked in right away taking an instant liking to some character and a dislike to another. That was really nice work from writer Michael Boughen. And also a big thumbs up to the cast in the movie. They had casted some really talented actors and actresses for this movie with the likes of Katrina Bowden (playing Kaz) Aaron Jakubenko (playing Charlie) Te Kohe Tuhaka (playing Benny) Tim Kano (playing Joji) and Kimie Tsukakoshi (playing Michelle). Great cast choices and great individual performances by the cast in this movie. And it should be said that the cast definitely made this movie more than watchable.The sharks in the movie were definitely good and felt very real especially since it was a combination of real footage and a prop. And the prop looked really realistic which added so much to the movie. The only downside here was the sound that they added to the sharks sort of a growling thing going on. That was just idiotic. Sure I get it for terms of thrills and entertainment for the movie. But no it just dumbs it down. Sharks are silent predators keep it realistic and keep them soundless. But it was a minor annoyance in the movie which didnt really impact the overall enjoyment of the movie. It was just a stupid little thing that sat like a thorn in the side of me.If you are only going to watch a single shark movie this year make it ""Great White"" because this movie is so well-worth taking the time and effort to sit down and watch. I was more than genuinely entertained by what this movie offered and it is one that I can warmly recommend.My rating of ""Great White"" lands on a seven out of ten stars. This is one of those instances when it is a shark movie done right.",7.0,16
gsyfrafjrp, Waste of time and money!,Totally waste of time and money worst movie to start the summer with.,1.0,17
ryanlion-38514, All Dialogue No Shark,I think I looked at the screen like twice for 10 seconds. This was terribly boring. I couldnt even pay attention or look away from my phone. Rarely do you get to see the shark. The acting was beyond wretched. The worst part is this is coming from someone who loves any shark movies and anything to do with water really. Skip this Snoozefest! I wish I did. Reviews didnt lie here.,2.0,18
kaefab, far fetch and the usual stranded with shark movie,Yes the movie is far fetch some effects are pretty awful looking too shark cgi of course.There is some gore.A struggling tour guide gets 2 customers (rich Asians) and take off on is plane.The reach an island where the asian women wants to spread her uncle remains is last dying wish. But they find a mangled body from a shark attack they argue they look around to find the boat the the women he was with.... when they find it she is dead and the shark attacks the plane sinking it... yeah you read that right.This movie is far fetch now they argue and try to survive on a life boat you know the rest.Boring and predictable and nothing new pass on this one.,3.0,19
katiha, Oh Dear God,Evet a child would write a better dialogues between the characters. That all Im going to say.,3.0,20
benjamin-ensor, Why bother making this?,The EXACT plot has been done so many times before - hell even the characters (maybe actors?) are the same. 5 friends caught out with no contact no rescue - shark circling getting picked off one by one... blah blah.Seems pointless to make this and probably puts people off tourism in Australia. 😂,2.0,21
PennywiseFA," Good popcorn fun, don't expect any realism here",Five people on a rescue mission in shark infested waters what could go wrong? Listen dont expect awesome CGI here the plot is half baked and I couldnt give two squirts of squirrel pee less about the characters but the film packs some nice thrills and overall I was entertained. This isnt trying to be a great movie but just one for the shark horror fans - and lets face it guys weve had just 1 fantastic sharkfilm. Ever. Until the next one comes if it ever does movies like these are enough to still the hunger.,6.0,22
JoelChamp85, What A Waste,I love shark films but I dont know who to blame - the writer or the producers who greenlit this. The story construction is utter disappointment. I couldnt have cared less about the characters it was just wasted screen time. There was one moment the film could have redeemed itself when the chick swam out to get the paddle but nothing happened that could have been a powerful moment instead it was just more bad screenwriting. This whole production was a wasted opportunity.,4.0,23
agnethagillbanks20, What's with the low rating!!!,Okay so first I am a big fan of shark movies. Anything to do with sharks gators and all thatIm there. This film was better than I expected cos I read the reviews and almost skipped it but I am glad I did not. The reviews are so wrong. I have seen worse moviesdull movies that have got higher ratings than this and this movie does not deserve the low ratings. It was interesting right from the start I like that there at least gave some background about the two mains unlike alot of the other similar ones that just get straight to the sharks. All in all it was a very good movie especially if you like these types of movies.,8.0,24
imcaufieldholt, Even the shark was bored,"Avoid ""Great White""! It is just boring. The characters just bicker 90% of the time I think even the shark was bored as it only turned up every now and then before going off to probably watch paint dry or something. In fact it probably just ate people to stop then whining at each other as that is what seems to pass as ""character development"".",1.0,25
lukemurray-40846, Standard shark film,Ill bullet point instead of writing a story.Typical stupid decision making.Shark attacks a plane but doesnt manage to destroy an inflatable life raft.Predictable outcome.Asian chick looked beat up by the end blond girl looked as though shed just come out of the salon.Pre event story pointless.Asian guy annoying obvious he wasnt going to make it.,3.0,26
pjkaustin, Great white load of crap,What a load of rubbish acting was bad story line was bad the sharks were  bad. Unbelievable and so unrealistic. Please dont waste your time or your money. I unfortunately just bought the dvd forv7 quid and Im sticking it straight into my get rid of pile.,2.0,27
jkingliz," Good concept, bad representation.",Honestly the story line and concept was great the acting was decent the animations were absolutely terrible.,3.0,28
nogodnomasters," What about ""it""?","Luke doesnt make it through the opening scene. We then jump to Charley (Aaron Jakubenko) and Kaz (Katrina Bowden) who own a charter sea plane company. They take a couple to an island along with odd man out Benny (Te Kohe Tuhaka) who is slightly dark skinned so we know he will be first to go. Kaz is pregnant so she must be the final girl by ""B"" movie code. The plane has an issue (it sinks) and we end up with five people in a rubber raft who somehow keep falling out.Katrina Bowden did well against flying piranhas so a Great White shouldnt be too much of an issue. This was a cliche shark film. Nothing new.Guide: F-word. No sex or nudity.",3.0,29
Lythas_85, terrible,The plot per se was stupid..come on.. you see a dead guy on the sand and suddenly you feel responsible about his lost and probably dead girlfriend that you end up endangering your own girlfriend who just happens to be pregnant with your child? No no no.Make it that you were planning a get away with her and then the sharks appeared or something.. it doesnt have to be that creative but come on dont make unrealistic reasons for characters to risk themselves for no reason.,2.0,30
irlmchan, Crap just crap,"Tourists charter a sea plane to visit a secluded unoccupied island. The charter is crewed by the pilot his wife and the cook/gopher. The purpose was to return the cremated ashes of a Japanese WWII soldier whos comrades died on this island. The plane is stuffed with suitcases and food for what should be a quick trip. The island is not suited for sightseeing or comfort so why bring the wife and the cook? I know more bait for the sharks who hold grudges and can scream under water.Thats the whole plot. The rest I leave to your imagination. Dont try too hard. Well help me understand how/why they brought a 10 man inflatable dingy along. This was a tiny ass plane and they had more supplies than USS Minnow.I was slightly interested in the ""possible"" plot regarding the females passengers grandfathers ashes. But it was just a stupid connection that leads the group into this secluded island.",1.0,31
omendata, Not bad for a low budget shark movie - Shark effects are actually quite good!,"I also cannot fathom some reviewers either as one of the other reviewers also has stated. I do agree it is ""Not Bad"" even though I suspect margarida-44311 is a shill with only 4 reviews under her belt - The shark effects are actually quite surprisingly pretty passable for a low budget shark movie; with the exception of a bit of dodgy CGI when it attacks the plane it is pulled off quite adequately !Acting is decent for the main part and the photography beach shots and locations are quite lush and some nice drone shots and some nasty gore shots of half eaten bodies all add a professional touch.Unfortunately the story is a bit lacking and the same old cliches and a similar ending stolen from The Shallows make it wholly very unoriginal and to be honest unlike great shark films like The Reef or Open Water what it majorly lacks is any tension or that palpable sense of fear and dread that those other superb films brought to the table and that is what mainly sinks this one for me!I still give it a fair 4/10 as it will make a Friday nights viewing with some sherberts and popcorn but it wont be an epic film evening!",4.0,32
ant36au, Doesn't deserve the bad reviews,Great White really doesnt deserve the bad reviews its received here from people who have completely forgotten what movies are here for to entertain us and in my opinion Great White delivers its a draw you in and keep you interested movie with stunning scenery and good acting from most of the cast with a good storyline I thoroughly enjoyed it does have a couple of ridiculous scenarios but what shark movie doesnt those scenarios are easily forgiven given then the type of movie this is.Give it a watch you wont be sorry.,7.0,33
hockeyguy9119, SSDD,The story is bland. The actors are bland. The dialogue is terrible. Fails to build the suspense.,1.0,34
neil-60137, Great White is awful,New worst movie Ive ever seen! Not only does it not have a plot but you actually want the actors to die right from the start. The 2 times you see the Shark in the 1st 88 mins really makes you wonder why its called Great White & not Raft in Water Wandering Aimlessly.,1.0,35
Draysan-Jennings, 47 Meters Down??,This film is advertised as if its from the executive producers of the 47 Meters Down series. I went through every producer credited in this film and none of them are affiliated with the films. After reading some of the reviews I was expecting this movie to be a total flop. To be honest I didnt think it was that bad. Ya some of the acting wasnt the greatest and the movie was tacky at times but it doesnt deserve a 1 star rating. Not a film Id watch again but I wouldnt say it was a waste of time. 5 stars.,5.0,36
whitemanfromtowne, Starts stupid and gets worse.,A dumbass aussie pilot decides to play search and rescue with his pregnant girlfriend one crew member and a couple who charted a plane to scatter a family members ashes off rhe coast. I never wanted so much a bunch of idiots to die in a film in all my life until watch the beginning of this POS. A movie full cute faces a dumbass story and a horrible shark premise. Dont bother.,1.0,37
richardcarlsen-69748, Jaws if it was a TV movie,I am the biggest Jaws fan in the world just love Sharks in general.Keep hoping that one day someone will be able to make a shark movie as entertaining as Jaws was this aint it.,6.0,38
bmasterson-96598, CHEESY BUT I LIKED IT,Not as bad as is being made out by some reviewersBest just to watch it with your guard down and go with the flow ignoring the holes in the script and the wooden actingAfter all the by now two roaring CGI Great Whites are on our side as they pick off the protagonists in order of acting abilityEnjoyable popcorn movie.,6.0,39
umnolol, Watched this drunk,Laughed at the first scene kept laughing at the stupid decisions and kept laughing at the actors because they seem serious but are unbelievable. Its a funny film. I would recommend a watch and this is one to watch especially as a scientist like myself.,2.0,40
paul-ayres-60784, Some very tense moments.,Another shark tale.. But much better than most. Actually I really enjoy scary shark movies ever since I saw Jaws in the cinema in the 70s. However most of them are laughable. Not this one. Extremely scary and in my opinion it is just as good as the popular flicks like Adrift.I dont understand why people have given this such a low rating. What more can you expect from a movie about a group of people stranded in the sea being hunted by great white sharks? Ive read reviews claiming that the acting is below par but I dont agree. Perhaps Tim Kanos performance was a little bland but not bad enough to drag the movie down a notch. I thought the characters very believable. Kimie Tsukakoshi is totally gorgeous along with Katrina Bowden so no complaints there. The cinematography was breathtaking the sharks very scary and the tension certainly had me on the edge of my seat.Just one criticism; in one scene the shark got himself stuck which is unrealistic because sharks have to keep moving or they die. The water needs to pass through their gils or they drown. Im not going into any more details as I dont want to add spoilers.Well worth a watch I would recommend it. 8/10 from me..,8.0,41
greenhouse3505, Worth a look,Its funny that over the last twelve months movies that would never have been given the green light have had a chance.This is one of those movies.Very low budget but worth a look. Even if its for no other reason than its not another zombie movie. Im over the horror/thriller genre being 80% the same movie just being shot from different angles.This is no award winning masterpiece. But at least its got a little something. Would be nice to see what they couldve done with an actually decent budget.,6.0,42
coryh-30073, Disney Channel shark movie,The first maybe 10 minutes was decent after that is was like watching Disney Channel stars act out a horror movie. The same type of CGI youd see on a show like The Suite life of Zack and Cody.,2.0,43
yvesdemaria, Loved the first 30 minutes,Great scenery camera work set up of the storydecent characters but after 30 minutes it just went downhill in a crazy fashion.First 30 minutes: 9/10  after that: 4/10.,6.0,44
heliparts, All those that gave this less than a 5 are idiots.,All those that gave this less than a 5 are idiots.I even reported them as such.,10.0,45
vengeance20, A Shark Version Of Black Water: Abyss,Had a feeling this film was going to be bad but still decided to give it a watch anyway.The film follows a group of 5 who become stranded in the sea & find themselves floating on a raft while trying to survive Great White Shark attacks.I found the film to be boring for the most part while there were some decent shark shots a lot of them looked really fake looking (Poor GCI) & made even Jaws: The Revenge seem more realistic! The characters were alright aside from one which really annoyed the crap out of me! The film however was short at 1 hour & 21 minutes but felt longer due to it mostly being the group moaning & talking to each other while floating endlessly.But my main hate towards this film is the sexism. All the Male characters die & all the females live (how original) once again its typical in the 2020s that men cant be heros & save the day cause women apparently dont need men (who are treated as useless in films like this) to save them from danger how typical! How EmPowErInG! How Wo0Ke! Seriously? Why do films have to be like this? Cant good films be made anymore? Apparently not in 2021 or the 2020s for that matter...!Overall terrible film! 1/10.,1.0,46
vassiliskounelis, Emmm why ?,Weird how stupid the script was.The film was boring and had nothing to offer as nothing was happening.The act was bad the CGI was terrible .everything was actually wrong with this movie totally unreal without fan at all.,1.0,47
andynicko, Jeez,Worst shark film ever and didnt think sharks could scream or roar lol.,1.0,48
Instant_Palmer, A Tale Of Two Movies,The first half of the film grabs your interest with intrigue and slick production but too many holes in the script later loses you. Its a gorgeously shot caper film but tries too hard to be cool and someone should have spent more time plugging those story holes as ones interest drains by the end.,6.0,49
Xstal, God Save the Queen...,... but god help us all as the most conjured contrived and concocted made for tv middle of the road median mean and average bank heist story goes bust and burst while flooding flailing and failing to entertain through an exceptionally unbalanced uneven off centre and out of kilter plot - the securely locked door left open for a part two suggested but lets hope not.,5.0,50
mariannelisabeth, Popcorn movie,"Refreshingly easy watch. No politics or ""woke"" crap just a easygoing popcorn movie. Wanted to give it 7/10 but just because it was free of all 2021 boring stuff I give it a nice 8/10. Watch this without worrying about getting hit over the head with real live crap and just enjoy!",8.0,51
Top_Dawg_Critic, Nothing we haven't seen before.,It was good really well directed and shot but the story is nothing new. Its basically a tamed down shortened movie version of Money Heist but not nearly as cleverly or suspensefully written. Plus I feel Freddie Highmore was a poor casting choice. I kept expecting some dumb equations to pop up like they do in the lame TV series hes in The Good Doctor. Plus he still had that lost-in-space duh look.,7.0,52
calsols, Misión imposible?,Spanish version of Oceans Eleven/Mission: Impossible. But worse.,5.0,53
heratyplant," Great First 5 Minutes, Then Oh Dear!",Brilliant start with some beautiful visuals although they missed the trick of the correct way to shoot from hundreds of years ago to present day in one shot but on we go.I confess Im not overly familiar with Highmore but within seconds I looked up from what I was doing with a gasp of what! He sounds like & has the charisma of a librarian talking through a sock & a thick one at that I barely got half of what he was saying & the embarrassing youre a genius kid dialogue was cringe. How Freddy is where he is surely is a testament to the ridiculousness of Hollywood or most films of today. PS - I like librarians.Famke Janssen when I realised thats who it was appears to have had an argument with herself & taken it out on her face. My advice as someone whos had a little nip tuck Ms Janssen is to leave it a little longer before you agree to filming & or get a lawyer versed in medical malpractice.As to the movie I went & put the kettle on.,2.0,54
handycapt1, Rapidly falls apart - absurd ending,This started off as your typical principled heist movie with shady government agents double crossing heroes and a man motivated by just doing whats right/They had to break into the unknowable unbreakable vault - of course.Well the vault floor was a giant SCALE - and if any motion was detected the room would flood - killing everybody.Uhhhhhh ok. So how did they get the 4 treasure chests in the middle of the room?Maybe our intrepid band of thieves should have just found the OFF switch the bank apparently used to put stuff in there.This isnt a plot hole - its a story killing absurdity.,3.0,55
simon-1233, Just Boring.,"Gave up half way through.When you watch halfway through a movie and nothing even remotely pulls you into it then why watch the other half?There was nothing great about the dialogue just the same old stuff no action set pieces to get the adrenaling pumping no comedy nothing.If this movie was a colour it would be light grey.There are hundreds of movies that pull of the ""Heist"" style movie much better. Go watch one of those.",2.0,56
alexcook-47914, Lazy writing and wasted talent,The dialogue is awful and stale which was enough to put me off. I rarely turn a film off half way but after the supposedly complicated machine that meant FH had to go into the bank turned out seemingly to require about 2 button presses I realised just how weak the entire thing is. It stinks of lazy writing and I cant stand a lazilly concocted screenplay. Some great actors all of whom are wasted on this film. With such bland dialogue even the greatest of actors wouldnt be able to pump life into it. Its just not good... at all. Dont waste your time. Ive turned it off at around the 50 minute mark to go and watch some paint dry in the kitchen.,2.0,57
bou3zizi, no creativity,The idea of the film lacks creativity the viewer feels that he is watching a collection of several scenes from old films. The end is also expected.,6.0,58
aronisland, Main dude is absolutely horrible :S,The main dude who looks like a confused bong head at a slayer concert most of the time absolutely ruined this movie for me :S I have nothing more to add really if the casting had been different Im pretty sure Id have enjoyed the rest of it . Please movie makers never hire this frog faced  skyhigh looking hippy again ! :),5.0,59
ancientlight, A Tiresome Plot Reworked for the 25th Time,"The movie starts off slowly but little by little it turns into a total dud. The only suspense is trying to figure out how soon it will be over. The ending if you can put all the pieces together turns into a total letdown. This is strictly a ""Who cares?"" movie. However if youre on a date your date will do anything to avoid having to watch it if you get my drift.",1.0,60
Go_For_The_Jugular, Boring and lacks logic,So a handful of randoms and an English kid theyve never met break into the worlds most secure vault...after 1 day planning?!English kid gets an unknown text message and just walks off to meet the person...then agrees to rob a bank with a group of people he knows absolutely nothing about?!When the vault fills with water just as it gets to the top the English kids face was clearly visible on the security camera and was viewed by at least 3 people. Yet he more or less just walks off scot-free with nobody looking for him and he isnt on the run at all...in fact hes already planning his next robbery!Its just an unrealistic joke...more like an episode of Hustle than a movie.And it was really slow throughout.,3.0,61
taz103, Much better than most of the junk around at the moment,"Its far from perfect but i really enjoyed it and got my fix of bank of spain being robbed whilst i wait for ""money heist"" season 5",8.0,62
abdullahgokcekesgin, not bad at all,"No reason to write any bad reviewspretty decent movie good acting world cup scenes were there to make it more ""real"" well written and a twist in the end",7.0,63
Mohamad021, Fun and easy to watch,Fun easy to watch. it is a successful dual language entertaining movie. English and Spanish actors did a great job cause often it is a fail when there is another language interferes.However the movie delivers in a creative way to tell a story using the world cup event. Loved the music choices. it worth watching.,7.0,64
svandamme," good idea, poor exectution",The basic idea sounds like fun but then the actual break in is so poorly scripted and done it ruins the entire movie....,3.0,65
sameershettyrules, dont waste your time.,A poor heist movie with.nothing to add.usual tropes of the genre that have been done to death.a genius.,3.0,66
Neptune165, From good doctor to bad engineer,When will they stop revolving the same type movies? Theres The bank job the Italian job oceans 11 12 & 13 den of thieves inside man heist and more that are basically the same movies with different actors. Just like other movies theyve been recycled with new actors and changed only slightly. Compared to if youve seen one zombie movie youve seen em all or one vampire movie etc. funny planning such a high level heist yet they went with the short ladder. Hollywood always amaze me with their actions. So the bad good guy convinces the good good guy to work for him using the lovely daughter. Then one of the people that work for the bad good guy turns out to be the bad bad guy. Where do I remember that?,4.0,67
popsticles-56820, One of the best heist movies in years,If you are a heist movie fan dont miss this one! A great mix of excitement cool and genius planning and all the ups and downs executing it!,10.0,68
daisukereds, Very good! But..,"Tense and entertaining. Very well filmed cast acted edited sound design locations visuals etc. Its a very good package for a heist movie. It doesnt really do anything mind-blowing or memorable but I have no complaints at all which is rare. It feels VERY realistic which sometimes is not fun (when youve seen Mission Impossible 4.. you get a taste for the fantastic and grounded). If you havent seen it and want to pass the time with a well crafted product Id say ""go for it""....Now..Normally I qualify movies as a whole. But I tend to put emphasis on the beginning (Marriage Story being a fine example). If Im immediately turned off is no good but also how easily and smoothly Im introduced to this new world. I tend to be easily dissuaded because of everything Ive already watched in my lifetime. And then there is the ending (like the anime Code Geass s02) which is the most important part of it all. If the story ends and you feel hollow disappointed or let down.. then the time you spent watching feels even heavier a sense of wasted of time.This movie failed me in one of these regards just a bit. That plus the averageness of the script in comparison to others lowers what would be a high score for me. And this was a choice.. I cant agree to it but it isnt my film. Could have been better.",6.0,69
kenzibit, The World Cup Blend makes it feel like a true story 👌🏾,Beautiful and simple movie to get you tensed and excited. I really enjoyed watching this movie a lot basically cuz it was unpredictable and fun. Acting and dialogues were on point with a wonderful idea of blending it with the 2010 World Cup which for some time made me feel the movie was based on actual events.... Such capture from a movie to the audience is every directors goal and makes this movie a remarkable thing to watch. I highly recommend this if you are into heist movies 👌🏾,9.0,70
olegmaluhin, Boring and uninspired,Silly story with banal plot unlikable characters and subpar action. Seen it hundred times in other movies. Most of the time done better than here. Dont waste your time with this trash.,2.0,71
charlietiberioj, God Fun,The Vault may not even meet all the expectations it was proposing but it must still be checked and celebrated.,7.0,72
dharmashantilove, Bored,Maybe it just wasnt for me but nothing grabbed or hooked me in. Nothing stuck out for me. I was surprisingly bored again maybe it simply wasnt for me.,4.0,73
Bartlomiej_Lichwala, Not terrible,Nothing special youve seen it a million times but it doesnt make it not worth watching. If youre looking for something deeper and new you wont find it here but if you just want to watch whatever action movie its actually pretty good. If you have a free evening and you have nothing better to do you should give it a go.,6.0,74
jdticktalk, Huh?,This is the type of movie you hope is cleverly cast and written.....with a smashing end.....but...alas....not here! Theres little chemistry between characters.....much of the writing is improbable.....and the end makes no sense. Were supposed to believe that a 500 year old treasure ended up being buried.....where?....youre kidding.....right?,7.0,75
jdpaula, Pleasing yet uninspired,Checks every box of basic heist movie plot lacks creativity but its still a simple light entertaining movie.,6.0,76
darth-moose72, Had High hopes but let down.,Started out with high hopes for this movie. Soon let down. Most of the movie is in Spanish sound editing is so bad that for most of it I couldnt understand what was being said as too much background noise.So unbelievable as well. The vault is weighted so people walking on it sets it off? How do they load things into the vault then? A huge space under the vault that is easy to access from outside?,5.0,77
obrechtandreas, less than average,Could have had potential in the end it just feels like sth we already saw 100 times and even the actors dont fit. It tries to be clever but.. yeah.. overall a waste of time really not recommended.,4.0,78
